dispersion_quantile,design_id,pressure_bar,equivalence_ratio,cracking_ratio,support_tier,selected,selected_count_at_quantile
0.5,screen_0030,5,0.9,0.4,proxy_supported,True,1
0.5,screen_0037,5,1.0,0.3,proxy_supported,False,1
0.5,screen_0038,5,1.0,0.4,proxy_supported,False,1
0.5,screen_0039,5,1.0,0.5,proxy_supported,False,1
0.5,screen_0045,5,1.1,0.3,proxy_supported,False,1
0.5,screen_0046,5,1.1,0.4,proxy_supported,False,1
0.5,screen_0047,5,1.1,0.5,proxy_supported,False,1
0.5,screen_0054,5,1.2,0.4,proxy_supported,False,1
0.6,screen_0030,5,0.9,0.4,proxy_supported,True,1
0.6,screen_0037,5,1.0,0.3,proxy_supported,False,1
0.6,screen_0038,5,1.0,0.4,proxy_supported,False,1
0.6,screen_0039,5,1.0,0.5,proxy_supported,False,1
0.6,screen_0045,5,1.1,0.3,proxy_supported,False,1
0.6,screen_0046,5,1.1,0.4,proxy_supported,False,1
0.6,screen_0047,5,1.1,0.5,proxy_supported,False,1
0.6,screen_0054,5,1.2,0.4,proxy_supported,False,1
0.7,screen_0030,5,0.9,0.4,proxy_supported,True,1
0.7,screen_0037,5,1.0,0.3,proxy_supported,False,1
0.7,screen_0038,5,1.0,0.4,proxy_supported,False,1
0.7,screen_0039,5,1.0,0.5,proxy_supported,False,1
0.7,screen_0045,5,1.1,0.3,proxy_supported,False,1
0.7,screen_0046,5,1.1,0.4,proxy_supported,False,1
0.7,screen_0047,5,1.1,0.5,proxy_supported,False,1
0.7,screen_0054,5,1.2,0.4,proxy_supported,False,1
0.75,screen_0030,5,0.9,0.4,proxy_supported,True,3
0.75,screen_0037,5,1.0,0.3,proxy_supported,False,3
0.75,screen_0038,5,1.0,0.4,proxy_supported,False,3
0.75,screen_0039,5,1.0,0.5,proxy_supported,True,3
0.75,screen_0045,5,1.1,0.3,proxy_supported,False,3
0.75,screen_0046,5,1.1,0.4,proxy_supported,True,3
0.75,screen_0047,5,1.1,0.5,proxy_supported,False,3
0.75,screen_0054,5,1.2,0.4,proxy_supported,False,3
0.8,screen_0030,5,0.9,0.4,proxy_supported,True,3
0.8,screen_0037,5,1.0,0.3,proxy_supported,False,3
0.8,screen_0038,5,1.0,0.4,proxy_supported,False,3
0.8,screen_0039,5,1.0,0.5,proxy_supported,True,3
0.8,screen_0045,5,1.1,0.3,proxy_supported,False,3
0.8,screen_0046,5,1.1,0.4,proxy_supported,True,3
0.8,screen_0047,5,1.1,0.5,proxy_supported,False,3
0.8,screen_0054,5,1.2,0.4,proxy_supported,False,3
0.9,screen_0030,5,0.9,0.4,proxy_supported,True,5
0.9,screen_0037,5,1.0,0.3,proxy_supported,False,5
0.9,screen_0038,5,1.0,0.4,proxy_supported,True,5
0.9,screen_0039,5,1.0,0.5,proxy_supported,True,5
0.9,screen_0045,5,1.1,0.3,proxy_supported,False,5
0.9,screen_0046,5,1.1,0.4,proxy_supported,True,5
0.9,screen_0047,5,1.1,0.5,proxy_supported,True,5
0.9,screen_0054,5,1.2,0.4,proxy_supported,False,5
1.0,screen_0030,5,0.9,0.4,proxy_supported,True,8
1.0,screen_0037,5,1.0,0.3,proxy_supported,True,8
1.0,screen_0038,5,1.0,0.4,proxy_supported,True,8
1.0,screen_0039,5,1.0,0.5,proxy_supported,True,8
1.0,screen_0045,5,1.1,0.3,proxy_supported,True,8
1.0,screen_0046,5,1.1,0.4,proxy_supported,True,8
1.0,screen_0047,5,1.1,0.5,proxy_supported,True,8
1.0,screen_0054,5,1.2,0.4,proxy_supported,True,8
